HUGO Symbol	Type	Chromosome	Significance	Freq	% Markers Altered
FCRL1	Amp	1	0.090074	0.13708	1
FCRL2	Amp	1	0.090074	0.13708	1
FCRL3	Amp	1	0.090074	0.13708	1
FCRL4	Amp	1	0.090074	0.13708	1
FCRL5	Amp	1	0.090074	0.13708	1
FCRL6	Amp	1	0.12396	0.13483	1
FCRLA	Amp	1	0.10702	0.13483	1
FCRLB	Amp	1	0.12396	0.13483	1
FDPS	Amp	1	0.0007772	0.15955	1
FH	Amp	1	0.03084	0.14382	1
FLAD1	Amp	1	0.0056764	0.15056	1
FLG	Amp	1	0.090074	0.13708	1
FLG2	Amp	1	0.090074	0.13708	1
KLHDC8A	Amp	1	4.1892e-007	0.18202	1
VASH2	Amp	1	0.06475	0.13933	1
ETV3L	Amp	1	0.077412	0.13708	1
DENND1B	Amp	1	0.013386	0.14607	1
PM20D1	Amp	1	0.03084	0.14382	1
C1orf220	Amp	1	0.090074	0.13708	1
NCRNA00083	Amp	1	0.090074	0.13708	1
FLVCR1	Amp	1	0.090074	0.13708	1
FMN2	Amp	1	0.013386	0.14607	1
FMO1	Amp	1	0.22247	0.13034	1
FMO2	Amp	1	0.22247	0.13034	1
FMO3	Amp	1	0.22247	0.13034	1
FMO4	Amp	1	0.22247	0.13034	1
FMOD	Amp	1	3.4039e-006	0.17753	1
FNDC5	Amp	1	0.22247	0.13034	1
FUBP1	Amp	1	0.16804	0.13258	1
G0S2	Amp	1	0.12396	0.13483	1
GALNT2	Amp	1	0.16804	0.13258	1
GATAD2B	Amp	1	0.0013055	0.1573	1
GBA	Amp	1	0.0010413	0.1573	1
GFI1	Amp	1	0.22247	0.13034	1
GGPS1	Amp	1	0.00014642	0.16404	1
GJA10	Amp	1	0.12396	0.13483	1
GJA5	Amp	1	0.22247	0.13034	1
GJA8	Amp	1	0.22247	0.13034	1
GLMN	Amp	1	0.22247	0.13034	1
HPDL	Amp	1	0.013386	0.14607	1
GLRX2	Amp	1	0.013386	0.14607	1
GLT25D2	Amp	1	0.06475	0.13933	1
GLUL	Amp	1	0.090074	0.13708	1
GMEB1	Amp	1	0.013386	0.14607	1
GNG4	Amp	1	0.00014642	0.16404	1
GNPAT	Amp	1	0.090074	0.13708	1
GOLPH3L	Amp	1	8.1617e-005	0.16629	1
GOLT1A	Amp	1	2.0003e-015	0.22247	1
GON4L	Amp	1	8.1617e-005	0.16404	1
GPA33	Amp	1	0.22247	0.13034	1
GPATCH4	Amp	1	0.013386	0.14607	1
GPBP1L1	Amp	1	0.013386	0.14607	1
GPR137B	Amp	1	0.0007772	0.15955	1
GPR161	Amp	1	0.22247	0.13034	1
GPR37L1	Amp	1	0.0035322	0.15281	1
GPX7	Amp	1	0.03084	0.14382	1
GREM2	Amp	1	0.013386	0.14607	1
GSTM1	Amp	1	2.661e-011	0.20674	1
H3F3A	Amp	1	0.06475	0.13933	1
HAPLN2	Amp	1	0.013386	0.14607	1
HAX1	Amp	1	0.0007772	0.15955	1
HCN3	Amp	1	0.00045517	0.1618	1
HDAC1	Amp	1	0.22247	0.13034	0.5
HDGF	Amp	1	0.013386	0.14607	1
HEATR1	Amp	1	0.0013055	0.1573	1
HECTD3	Amp	1	0.03084	0.14157	1
HEYL	Amp	1	0.16804	0.13258	1
HFE2	Amp	1	0.045183	0.14157	1
HIST2H2AB	Amp	1	0.0089249	0.14831	1
HIST2H2AC	Amp	1	0.0089249	0.14831	1
HIST2H2BE	Amp	1	0.0089249	0.14831	1
HMCN1	Amp	1	0.06475	0.13708	1
HNRNPU	Amp	1	0.0013055	0.1573	1
HORMAD1	Amp	1	4.4654e-005	0.16854	1
HPCA	Amp	1	0.22247	0.13034	1
HPCAL4	Amp	1	0.22247	0.13034	1
HRNR	Amp	1	0.090074	0.13708	1
HSD11B1	Amp	1	0.12906	0.13258	1
HSPA6	Amp	1	0.0007772	0.15955	1
RNF19B	Amp	1	0.22247	0.13034	1
IER5	Amp	1	0.12396	0.13483	1
IFI16	Amp	1	0.16804	0.13258	1
IFI6	Amp	1	0.22247	0.13034	1
CADM3	Amp	1	0.22247	0.13034	1
IGSF8	Amp	1	0.045183	0.14157	1
IGSF9	Amp	1	0.06475	0.13933	1
IKBKE	Amp	1	0.06475	0.13933	1
IL10	Amp	1	0.090074	0.13708	1
IL19	Amp	1	0.090074	0.13708	1
IL20	Amp	1	0.090074	0.13708	1
IL24	Amp	1	0.090074	0.13708	1
IL6R	Amp	1	0.0007772	0.1573	1
ILF2	Amp	1	0.0013055	0.1573	1
INADL	Amp	1	0.16804	0.13258	1
INTS3	Amp	1	0.0007772	0.1573	1
INTS7	Amp	1	0.054966	0.13933	1
IPO13	Amp	1	0.16804	0.13258	1
IPO9	Amp	1	0.013386	0.14607	1
IPP	Amp	1	0.013386	0.14607	1
IQCC	Amp	1	0.22247	0.13034	1
IQGAP3	Amp	1	0.013386	0.14607	1
DCAF6	Amp	1	0.22247	0.13034	1
IRF2BP2	Amp	1	0.00014642	0.16404	1
IRF6	Amp	1	0.22247	0.13034	1
ISG20L2	Amp	1	0.013386	0.14607	1
ITGA10	Amp	1	0.045183	0.14157	1
ITGB3BP	Amp	1	0.22247	0.13034	1
ITLN1	Amp	1	0.077412	0.13708	1
ITLN2	Amp	1	0.06475	0.13933	1
ITPKB	Amp	1	0.12396	0.13483	1
IVL	Amp	1	0.06475	0.13933	1
IVNS1ABP	Amp	1	0.090074	0.13708	1
KDM5B	Amp	1	0.0056764	0.14607	1
JMJD4	Amp	1	0.22247	0.13034	1
JTB	Amp	1	0.0013055	0.1573	1
KLHDC9	Amp	1	0.06475	0.13933	1
KCNH1	Amp	1	0.12396	0.13034	0.3617
KCNJ10	Amp	1	0.045183	0.14157	1
KCNJ9	Amp	1	0.045183	0.14157	1
KCNK1	Amp	1	0.16804	0.13258	1
KCNN3	Amp	1	0.0056764	0.14831	1
KCNT2	Amp	1	0.013386	0.14607	1
KHDRBS1	Amp	1	0.12396	0.13483	1
KIAA0040	Amp	1	0.16804	0.13258	1
URB2	Amp	1	0.22247	0.13034	1
SLC25A44	Amp	1	0.0007772	0.15955	1
RPRD2	Amp	1	0.00014642	0.16404	1
METTL13	Amp	1	0.16804	0.13258	1
KIAA0907	Amp	1	0.00014642	0.16404	1
KIAA1324	Amp	1	0.16804	0.13034	1
KIAA1522	Amp	1	0.22247	0.13034	1
EFCAB7	Amp	1	0.22247	0.13034	0.25
KIF14	Amp	1	0.0021617	0.15506	1
KIF21B	Amp	1	0.022113	0.14382	1
KIF2C	Amp	1	0.06475	0.13933	1
KIFAP3	Amp	1	0.22247	0.13034	1
KIRREL	Amp	1	0.090074	0.13708	1
KISS1	Amp	1	1.0989e-014	0.22247	1
KLF17	Amp	1	0.090074	0.13708	1
KLHL12	Amp	1	0.0007772	0.15955	1
KLHL20	Amp	1	0.045183	0.14157	1
KMO	Amp	1	0.045183	0.14157	1
KPNA6	Amp	1	0.22247	0.13034	1
KRTCAP2	Amp	1	0.0021617	0.15506	1
LAD1	Amp	1	0.03084	0.14382	1
LAMB3	Amp	1	0.12396	0.13483	1
LAMC1	Amp	1	0.090074	0.13708	1
LAMC2	Amp	1	0.090074	0.13708	1
LASS2	Amp	1	8.1617e-005	0.16629	1
LAX1	Amp	1	6.4173e-011	0.20449	1
LBR	Amp	1	0.12396	0.13483	1
LCE1B	Amp	1	0.06475	0.13933	1
LCE1C	Amp	1	0.06475	0.13933	1
LCE1E	Amp	1	0.0021547	0.14607	1
LCE2A	Amp	1	0.0035322	0.15281	1
LCE2B	Amp	1	0.0035322	0.15281	1
LCE2C	Amp	1	0.0035322	0.15281	1
LCE2D	Amp	1	0.0035322	0.15281	1
LCE3D	Amp	1	0.22247	0.13034	1
LCE3E	Amp	1	0.06475	0.13933	1
LCE5A	Amp	1	0.06475	0.13933	1
LCK	Amp	1	0.22247	0.13034	1
LEFTY1	Amp	1	0.090074	0.13708	1
LEFTY2	Amp	1	0.06475	0.13933	1
LELP1	Amp	1	0.045183	0.14157	1
LEMD1	Amp	1	9.6982e-006	0.17079	1
LENEP	Amp	1	0.0035322	0.15281	1
LGALS8	Amp	1	0.0007772	0.15955	1
LGR6	Amp	1	0.0089249	0.14831	1
LGTN	Amp	1	0.06475	0.13933	1
LHX4	Amp	1	0.090074	0.13708	1
LHX9	Amp	1	0.013386	0.14607	1
LIN9	Amp	1	0.090074	0.13708	1
LIX1L	Amp	1	0.045183	0.14157	1
LMNA	Amp	1	0.00045517	0.1618	1
LMOD1	Amp	1	0.0056764	0.15056	1
C1orf227	Amp	1	0.10702	0.13483	1
LOR	Amp	1	0.03084	0.14382	1
LPGAT1	Amp	1	0.06475	0.13933	1
LRIG2	Amp	1	0.16804	0.13034	1
LRRC41	Amp	1	0.045183	0.14157	1
LRRN2	Amp	1	3.4903e-014	0.21798	1
LSM10	Amp	1	0.22247	0.13034	1
LY9	Amp	1	0.16804	0.13258	1
LYSMD1	Amp	1	8.1617e-005	0.16629	1
LYST	Amp	1	0.00014642	0.16404	1
SEC16B	Amp	1	0.22247	0.13034	1
MACF1	Amp	1	0.16804	0.13258	1
MAEL	Amp	1	0.22247	0.13034	1
MAGI3	Amp	1	0.22247	0.13034	0.46667
MAP1LC3C	Amp	1	0.0056764	0.15056	1
LAMTOR2	Amp	1	0.00045517	0.1618	1
MAPKAPK2	Amp	1	0.090074	0.13708	1
MAST2	Amp	1	0.0089249	0.14382	1
MCL1	Amp	1	0.00014642	0.16404	1
MDM4	Amp	1	2.0003e-015	0.24719	1
MECR	Amp	1	0.12396	0.13483	0.75
MED18	Amp	1	0.06475	0.13933	1
MEF2D	Amp	1	0.0035322	0.15281	1
MFSD2A	Amp	1	0.090074	0.13483	1
MFSD4	Amp	1	0.00014642	0.16404	1
GABPB2	Amp	1	8.1617e-005	0.16629	1
C1orf228	Amp	1	0.090074	0.13708	1
FAM159A	Amp	1	0.03084	0.14382	1
MGST3	Amp	1	0.12396	0.13483	1
MIXL1	Amp	1	0.090074	0.13708	1
MLLT11	Amp	1	0.00014642	0.16404	1
MMACHC	Amp	1	0.013386	0.14607	1
MNDA	Amp	1	0.16804	0.13258	1
MPZ	Amp	1	0.06475	0.13933	1
MR1	Amp	1	0.12396	0.13483	1
MRPL24	Amp	1	0.013386	0.14607	1
MRPL9	Amp	1	0.0089249	0.14831	1
MRPS14	Amp	1	0.045183	0.14157	1
MRPS15	Amp	1	0.16804	0.13258	1
MRPS21	Amp	1	0.0007772	0.15955	1
MSTO1	Amp	1	4.4654e-005	0.16854	1
MTMR11	Amp	1	0.0056764	0.15056	1
MTR	Amp	1	0.0056764	0.15056	1
MTX1	Amp	1	0.0013055	0.1573	1
MUC1	Amp	1	0.0013055	0.1573	1
MUTYH	Amp	1	0.013386	0.14607	1
MYBPH	Amp	1	0.00045517	0.1618	1
MYBPHL	Amp	1	0.22247	0.13034	1
MYCBP	Amp	1	0.12396	0.13258	1
MYCL1	Amp	1	0.12396	0.13483	1
MYOC	Amp	1	0.22247	0.13034	1
MYOG	Amp	1	0.0007772	0.15955	1
NASP	Amp	1	0.013386	0.14607	1
NAV1	Amp	1	0.0089249	0.14607	1
NBPF1	Amp	1	0.146	0.13258	0.071429
NCF2	Amp	1	0.045183	0.14157	1
NCSTN	Amp	1	0.090074	0.13708	1
